,district_code,district_name,pop_estimate_2011,year
0,A01,Chung Wan,18 529,2011
1,A02,Mid Levels    East,20    337,2011
2,A03,Castle Road,18    913,2011
3,A04,Peak,21    203,2011
4,A05,University,18    535,2011
5,A06,Kennedy Town    & Mount Davis,17    270,2011
6,A07,Kwun Lung,13    355,2011
7,A08,Sai Wan,16    214,2011
8,A09,Belcher,20    803,2011
9,A10,Shek Tong Tsui,16    392,2011
10,A11,Sai Ying Pun,16    187,2011
11,A12,Sheung Wan,18    726,2011
12,A13,Tung Wah,15    228,2011
13,A14,Centre Street,16    064,2011
14,A15,Water Street,16    919,2011
15,B01,Hennessy,14 097,2011
16,B02,Oi Kwan,15    114,2011
17,B03,Canal Road,15    912,2011
18,B04,Causeway Bay,15    011,2011
19,B05,Tai Hang,14    518,2011
20,B06,Jardine's    Lookout,15    586,2011
21,B07,Broadwood,14    519,2011
22,B08,Happy Valley,14    534,2011
23,B09,Stubbs Road,15    035,2011
24,B10,Southorn,14    862,2011
25,B11,Tai Fat Hau,14    236,2011
26,C01,Tai Koo    Shing West,17 409,2011
27,C02,Tai Koo Shing    East,18    438,2011
28,C03,Lei King Wan,20    356,2011
29,C04,Aldrich Bay,19    609,2011
30,C05,Shaukeiwan,14    190,2011
31,C06,A Kung Ngam,21    094,2011
32,C07,Heng Fa Chuen,19    181,2011
33,C08,Tsui Wan,13    420,2011
34,C09,Yan Lam,16    853,2011
35,C10,Siu Sai Wan,13    760,2011
36,C11,King Yee,17    027,2011
37,C12,Wan Tsui,15    135,2011
38,C13,Fei Tsui,15    538,2011
39,C14,Mount Parker,13    823,2011
40,C15,Braemar Hill,15    841,2011
41,C16,Tin Hau,14    375,2011
42,C17,Fortress Hill,16    780,2011
43,C18,Victoria Park,15    191,2011
44,C19,City Garden,15    268,2011
45,C20,Provident,20    029,2011
46,C21,Fort Street,14    996,2011
47,C22,Kam Ping,16    647,2011
48,C23,Tanner,15 571,2011
49,C24,Healthy    Village,15 611,2011
50,C25,Quarry Bay,15 200,2011
51,C26,Nam Fung,13 727,2011
52,C27,Kornhill,14 715,2011
53,C28,Kornhill    Garden,14 107,2011
54,C29,Hing Tung,19 288,2011
55,C30,Sai Wan Ho,19 454,2011
56,C31,Lower Yiu Tung,17 022,2011
57,C32,Upper Yiu Tung,13 283,2011
58,C33,Hing Man,14 908,2011
59,C34,Lok Hong,13 403,2011
60,C35,Tsui Tak,13 340,2011
61,C36,Yue Wan,15 243,2011
62,C37,Kai Hiu,13 749,2011
63,D01,Aberdeen ,19 630,2011
64,D02,Ap Lei Chau    Estate,13 210,2011
65,D03,Ap Lei Chau    North,15 136,2011
66,D04,Lei Tung I,15 054,2011
67,D05,Lei Tung II,12 548,2011
68,D06,South Horizons    East,15 319,2011
69,D07,South Horizons    West,15 088,2011
70,D08,Wah Kwai,16 079,2011
71,D09,Wah Fu I,12 473,2011
72,D10,Wah Fu II,14 386,2011
73,D11,Pokfulam,21 476,2011
74,D12,Chi Fu,16 764,2011
75,D13,Tin Wan,17 586,2011
76,D14,Shek Yue,19 316,2011
77,D15,Wong Chuk Hang ,16 589,2011
78,D16,Bays Area,16 270,2011
79,D17,Stanley &    Shek O,22 258,2011
80,E01,Tsim Sha    Tsui West,19 275,2011
81,E02,Jordan East,21    562,2011
82,E03,Jordan West,20    663,2011
83,E04,Yau Ma Tei,21    374,2011
84,E05,Charming ,18    029,2011
85,E06,Mong Kok West,19    746,2011
86,E07,Fu Pak,19    594,2011
87,E08,Olympic,18    761,2011
88,E09,Cherry,14    727,2011
89,E10,Tai Kok Tsui    South,14    501,2011
90,E11,Tai Kok Tsui    North,17    944,2011
91,E12,Tai Nan,21    470,2011
92,E13,Mong Kok North,16    075,2011
93,E14,Mong Kok East,15    444,2011
94,E15,Mong Kok South,15    829,2011
95,E16,King's Park,21    396,2011
96,E17,Tsim Sha Tsui    East,21 160,2011
97,F01,Po Lai,13 275,2011
98,F02,Cheung Sha Wan,16    243,2011
99,F03,Nam Cheong North,21    587,2011
100,F04,Shek Kip Mei & Nam Cheong East,20    559,2011
101,F05,Nam Cheong South,19    929,2011
102,F06,Nam Cheong Central,21    245,2011
103,F07,Nam Cheong West,13    097,2011
104,F08,Fu Cheong,16    655,2011
105,F09,Lai Kok,15    501,2011
106,F10,Fortune,19    692,2011
107,F11,Lai Chi Kok South,21    522,2011
108,F12,Mei Foo South,17    724,2011
109,F13,Mei Foo Central,13    580,2011
110,F14,Mei Foo North,16    599,2011
111,F15,Lai Chi Kok North,21    395,2011
112,F16,Un Chau & So Uk,21    293,2011
113,F17,Lei Cheng Uk,13    069,2011
114,F18,Ha Pak Tin,18    674,2011
