district_code,district_name,pop_estimate_2015,year
A01,Chung Wan,"13,850 ",2015
A02,Mid Levels    East,"18,828 ",2015
A03,Castle Road,"18,859 ",2015
A04,Peak,"20,324 ",2015
A05,University,"19,010 ",2015
A06,Kennedy Town    & Mount Davis,"16,920 ",2015
A07,Kwun Lung,"15,188 ",2015
A08,Sai Wan,"14,789 ",2015
A09,Belcher,"21,195 ",2015
A10,Shek Tong Tsui,"17,176 ",2015
A11,Sai Ying Pun,"14,528 ",2015
A12,Sheung Wan,"17,550 ",2015
A13,Tung Wah,"13,051 ",2015
A14,Centre Street,"16,227 ",2015
A15,Water Street,"15,142 ",2015
B01,Hennessy,"13,207 ",2015
B02,Oi Kwan ,"14,442 ",2015
B03,Canal Road,"13,514 ",2015
B04,Victoria Park,"14,642 ",2015
B05,Tin Hau,"14,156 ",2015
B06,Causeway Bay,"13,655 ",2015
B07,Tai Hang,"13,637 ",2015
B08,Jardine's    Lookout,"15,200 ",2015
B09,Broadwood,"14,677 ",2015
B10,Happy Valley,"14,090 ",2015
B11,Stubbs Road,"14,203 ",2015
B12,Southorn,"14,597 ",2015
B13,Tai Fat Hau,"13,346 ",2015
C01,Tai Koo    Shing West,"18,269 ",2015
C02,Tai Koo Shing    East,"19,530 ",2015
C03,Lei King Wan,"20,803 ",2015
C04,Aldrich Bay,"19,119 ",2015
C05,Shaukeiwan,"13,250 ",2015
C06,A Kung Ngam,"19,188 ",2015
C07,Heng Fa Chuen,"19,267 ",2015
C08,Tsui Wan,"13,031 ",2015
C09,Yan Lam,"16,981 ",2015
C10,Siu Sai Wan,"13,176 ",2015
C11,King Yee,"15,934 ",2015
C12,Wan Tsui,"14,542 ",2015
C13,Fei Tsui,"15,427 ",2015
C14,Mount Parker,"14,048 ",2015
C15,Braemar Hill,"16,991 ",2015
C16,Fortress Hill,"15,917 ",2015
C17,City Garden,"15,679 ",2015
C18,Provident,"21,058 ",2015
C19,Fort Street,"15,583 ",2015
C20,Kam Ping,"16,793 ",2015
C21,Tanner,"15,345 ",2015
C22,Healthy    Village,"14,480 ",2015
C23,Quarry Bay,"13,764 ",2015
C24,Nam Fung,"14,081 ",2015
C25,Kornhill,"14,724 ",2015
C26,Kornhill    Garden,"14,958 ",2015
C27,Hing Tung,"18,899 ",2015
C28,Sai Wan Ho,"19,482 ",2015
C29,Lower Yiu    Tung,"16,389 ",2015
C30,Upper Yiu    Tung,"12,732 ",2015
C31,Hing Man,"14,432 ",2015
C32,Lok Hong,"12,391 ",2015
C33,Tsui Tak,"13,349 ",2015
C34,Yue Wan,"14,804 ",2015
C35,Kai Hiu,"13,343 ",2015
