district_code,population_2019
A01,13 351
A02,16 508
A03,20 397
A04,19 447
A05,18 029
A06,15 273
A07,15 734
A08,12 985
A09,20 077
A10,16 479
A11,14 815
A12,14 981
A13,12 904
A14,15 003
A15,14 983
B01,12 777
B02,12 509
B03,12 512
B04,12 972
B05,13 412
B06,15 051
B07,13 701
B08,15 337
B09,13 755
B10,13 150
B11,15 042
B12,14 665
B13,13 170
C01,17 716
C02,18 063
C03,20 553
C04,20 013
C05,17 610
C06,14 076
C07,18 823
C08,18 597
C09,12 477
C10,16 073
C11,12 460
C12,14 676
C13,15 594
C14,15 268
C15,12 806
C16,16 259
C17,15 987
C18,16 955
C19,20 643
C20,16 157
C21,16 085
C22,15 959
C23,13 831
C24,13 076
C25,13 692
C26,14 528
C27,13 806
C28,17 972
C29,17 066
C30,13 149
C31,14 601
C32,12 685
C33,12 568
C34,14 926
C35,13 356
D01,19 023
D02,12 062
D03,13 442
D04,13 493
D05,14 666
D06,14 642
D07,14 674
D08,13 684
D09,12 937
D10,14 074
D11,20 748
D12,16 105
D13,18 081
D14,15 692
D15,17 715
D16,18 410
D17,20 149
E01,12 673
E02,17 591
E03,16 654
E04,19 175
E05,16 288
E06,16 278
E07,19 046
E08,17 370
E09,15 042
E10,14 341
E11,20 538
E12,20 254
E13,18 871
E14,16 568
E15,16 846
E16,12 823
E17,12 641
E18,17 885
E19,12 742
E20,14 762
F01,18 284
F02,15 757
F03,19 628
F04,19 039
F05,19 594
F06,19 858
F07,20 029
F08,20 211
F09,18 766
F10,13 067
F11,18 472
F12,13 376
F13,18 975
F14,16 785
F15,16 563
F16,12 720
F17,15 847
F18,15 472
F19,18 422
F20,18 751
F21,13 336
F22,15 802
F23,16 014
F24,14 650
F25,19 773
G01,20 629
G02,20 388
G03,20 388
G04,13 958
G05,15 428
G06,20 454
G07,19 625
G08,19 100
G09,14 931
G10,20 309
G11,15 498
G12,14 068
G13,12 993
G14,12 653
G15,15 116
G16,14 682
G17,15 646
G18,18 511
G19,17 582
G20,20 898
G21,18 414
G22,13 762
G23,19 876
G24,15 915
G25,13 113
H01,16 351
H02,16 671
H03,19 508
H04,14 838
H05,15 606
H06,19 166
H07,20 018
H08,16 884
H09,16 379
H10,14 016
H11,16 981
H12,13 761
H13,17 350
H14,15 466
H15,15 131
H16,20 405
H17,20 665
H18,22 446
H19,20 644
H20,18 840
H21,14 212
H22,12 568
H23,13 371
H24,16 202
H25,14 841
J01,16 518
J02,13 289
J03,20 355
J04,15 349
J05,16 446
J06,17 540
J07,20 297
J08,18 307
J09,17 620
J10,18 411
J11,20 739
J12,19 055
J13,19 749
J14,19 618
J15,20 193
J16,20 490
J17,18 079
J18,16 638
J19,20 638
J20,17 697
J21,13 020
J22,17 214
J23,15 754
J24,17 969
J25,16 068
J26,19 627
J27,24 757
J28,20 225
J29,18 780
J30,17 379
J31,13 893
J32,13 320
J33,16 091
J34,12 582
J35,12 479
J36,15 614
J37,16 809
J38,15 165
J39,17 513
J40,17 071
K01,15 475
K02,17 799
K03,19 623
K04,18 556
K05,16 058
K06,17 170
K07,14 883
K08,16 074
K09,13 916
K10,13 352
K11,15 648
K12,19 600
K13,17 611
K14,17 951
K15,19 191
K16,13 060
K17,12 759
K18,17 296
K19,17 322
L01,20 442
L02,19 954
L03,15 819
L04,18 367
L05,15 078
L06,14 625
L07,18 150
L08,16 817
L09,14 921
L10,15 167
L11,20 036
L12,13 828
L13,17 237
L14,14 473
L15,13 428
L16,12 544
L17,13 434
L18,15 982
L19,18 387
L20,14 469
L21,17 075
L22,13 772
L23,12 881
L24,15 565
L25,15 431
L26,16 698
L27,15 943
L28,16 746
L29,20 491
L30,19 298
L31,19 373
M01,19 006
M02,15 542
M03,15 976
M04,13 761
M05,20 582
M06,18 727
M07,13 508
M08,13 849
M09,13 186
M10,14 251
M11,13 766
M12,19 402
M13,16 555
M14,12 641
M15,15 332
M16,15 036
M17,12 903
M18,14 278
M19,12 734
M20,13 916
M21,14 562
M22,16 712
M23,17 756
M24,14 960
M25,16 867
M26,15 741
M27,22 036
M28,18 671
M29,19 077
M30,19 671
M31,20 392
M32,20 465
M33,18 418
M34,14 237
M35,20 038
M36,19 617
M37,20 792
M38,13 491
M39,20 545
N01,20 753
N02,15 211
N03,16 358
N04,18 412
N05,16 202
N06,19 314
N07,14 716
N08,14 726
N09,20 504
N10,18 967
N11,20 757
N12,17 222
N13,19 841
N14,13 050
N15,18 664
N16,17 305
N17,17 073
N18,18 344
P01,19 451
P02,14 303
P03,13 645
P04,13 863
P05,15 546
P06,14 644
P07,13 600
P08,12 858
P09,19 301
P10,18 120
P11,15 438
P12,15 444
P13,17 508
P14,17 451
P15,13 735
P16,17 381
