"year","election_type","electoral_rule","district","district_code","district_name","chinese_name","station_code","chinese_name_poll_station","name_poll_station","ps_gmaps_coords","lat","lon","candidate_name_eng_1","political_ideo_1","votes_candidate_1","political_affiliations_english_1","candidate_name_eng_2","political_ideo_2","votes_candidate_2","political_affiliations_english_2","candidate_name_eng_3","political_ideo_3","votes_candidate_3","political_affiliations_english_3","candidate_name_eng_4","political_ideo_4","votes_candidate_4","political_affiliations_english_4","candidate_name_eng_5","political_ideo_5","votes_candidate_5","political_affiliations_english_5","candidate_name_eng_6","political_ideo_6","votes_candidate_6","political_affiliations_english_6"
2011,"District Council Election","first-past-the-post","Central & Western District","A01","Chung Wan","中環","A0101","專業聯合中心","Joint Professional Centre","22.284617, 114.154723",22.284617,114.154723,"WAI PUI SHUEN","pro-establishment",650,"THE HONG KONG ISLAND FEDERATION","HUI CHI FUNG","pro-democracy",839,"THE DEMOCRATIC PARTY","SO HO","pro-democracy",77,"POWER VOTES; PEOPLE POWER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A01","Chung Wan","中環","A0102","香港視覺藝術中心","Hong Kong Visual Arts Centre","22.2767383, 114.1593789",22.2767383,114.1593789,"WAI PUI SHUEN","pro-establishment",150,"THE HONG KONG ISLAND FEDERATION","HUI CHI FUNG","pro-democracy",112,"THE DEMOCRATIC PARTY","SO HO","pro-democracy",19,"POWER VOTES; PEOPLE POWER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A02","Mid Levels East","半山東","A0201","高主教書院","Raimondi College","22.2782914, 114.1533874",22.2782914,114.1533874,"CHEUNG YICK HUNG JACKIE","pro-establishment",1432,"THE HONG KONG ISLAND FEDERATION","CHAN PUI YI",NA,108,NA,"TANG WAI CHUNG WILHEIM","pro-democracy",927,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A03","Castle Road","衛城","A0301","英華女學校","Ying Wa Girls' School","22.2827187, 114.1472685",22.2827187,114.1472685,"PAK FU HUNG","pro-establishment",881,"THE HONG KONG ISLAND FEDERATION","CHENG LAI KING","pro-democracy",1291,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A04","Peak","山頂","A0401","香港公園體育館","Hong Kong Park Sports Centre","22.2772634, 114.159326",22.2772634,114.159326,"CHAN TANYA","pro-democracy",567,"CIVIC PARTY","CHAN HO LIM JOSEPH","pro-establishment",1108,"LIBERAL PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A04","Peak","山頂","A0402","德國瑞士國際學校","German Swiss International School","22.265971, 114.1615628",22.265971,114.1615628,"CHAN TANYA","pro-democracy",253,"CIVIC PARTY","CHAN HO LIM JOSEPH","pro-establishment",397,"LIBERAL PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A05","University","大學","A0501","聖士提反女子中學附屬小學","St. Stephen's Girls'  Primary School","22.283985, 114.144589",22.283985,114.144589,"CHAN CHIT KWAI","pro-establishment",2169,"INDEPENDENT (NEW CENTURY FORUM)","TSUI KIT SANG","pro-democracy",530,"LEAGUE OF SOCIAL DEMOCRATS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A06","Kennedy Town & Mount Davis","堅摩","A0601","香港基督教女青年會西環綜合社會服務處","HKYWCA Western District Integrated Social Service Centre","22.2819261, 114.1258015",22.2819261,114.1258015,"CHAN HOK FUNG","pro-establishment",1721,"DAB","NG HOI YAN BONNIE","pro-democracy",1468,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A07","Kwun Lung","觀龍","A0701","士美非路體育館","Smithfield Sports Centre","22.2816862, 114.1286074",22.2816862,114.1286074,"IP KWOK HIM","pro-establishment",2723,"DAB","LEUNG KWOK HUNG","pro-democracy",973,"LEAGUE OF SOCIAL DEMOCRATS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"District Council Election","first-past-the-post","Central & Western District","A08","Sai Wan","西環","A0801","堅尼地城社區綜合大樓 (綜合用途室)","Kennedy Town Community Complex (Multi-purpose Function Room)","22.281864, 114.129054",22.281864,114.129054,"CHONG WING FAI WINFIELD","pro-democracy",1631,"THE DEMOCRATIC PARTY","CHEUNG KWOK KWAN","pro-establishment",1655,"DAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
