"year","election_type","electoral_rule","district","district_code","district_name","chinese_name","station_code","chinese_name_poll_station","name_poll_station","ps_gmaps_coords","lat","lon","votes_candidate_1","votes_candidate_2","votes_candidate_3","votes_candidate_4","votes_candidate_5","votes_candidate_6","poli_ideo_1","poli_ideo_2","poli_ideo_3","poli_ideo_4","poli_ideo_5","poli_ideo_6","name_candidate_1","name_candidate_2","name_candidate_3","name_candidate_4","name_candidate_5","name_candidate_6","party_allegiance_1","party_allegiance_2","party_allegiance_3","party_allegiance_4","party_allegiance_5","party_allegiance_6"
2015,"District Council Election","First-past-the-post","Central & Western District","A01","CHUNG WAN","中環","A0101","專業聯合中心","Joint Professional Centre","22.284617, 114.154723","22.284617"," 114.154723",982,700,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,NA,"HUI CHI FUNG","LAU WAI YAN VIENNA",NA,NA,NA,NA,"THE DEMOCRATIC
PARTY",NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A01","CHUNG WAN","中環","A0102","香港視覺藝術中心","Hong Kong Visual Arts Centre","22.2767383, 114.1593789","22.2767383"," 114.1593789",108,240,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,NA,"HUI CHI FUNG","LAU WAI YAN VIENNA",NA,NA,NA,NA,"THE DEMOCRATIC
PARTY",NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A02","MID LEVELS EAST","半山東","A0201","高主教書院","Raimondi College","22.2782914, 114.1533874","22.2782914"," 114.1533874",1521,1466,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,NA,"NG SIU HONG","CHEUNG YICK HUNG JACKIE",NA,NA,NA,NA,"THE DEMOCRATIC
PARTY",NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A03","CASTLE ROAD","衛城","A0301","香港真光幼稚園(堅道)","Hong Kong True Light Kindergarten (Caine Road)","22.281594, 114.151889","22.281594"," 114.151889",1045,1047,NA,NA,NA,NA,"pro-democracy","pro-establishment",NA,NA,NA,NA,"CHENG LAI KING","NG LUNG FEI",NA,NA,NA,NA,"THE DEMOCRATIC
PARTY","LIBERAL PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A03","CASTLE ROAD","衛城","A0302","食物環境衞生署食物安全中心(醫院道辦事處)","Centre for Food Safety (Hospital Road Office), Food and Environmental Hygiene Department","22.2846458, 114.146142","22.2846458"," 114.146142",412,264,NA,NA,NA,NA,"pro-democracy","pro-establishment",NA,NA,NA,NA,"CHENG LAI KING","NG LUNG FEI",NA,NA,NA,NA,"THE DEMOCRATIC
PARTY","LIBERAL PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A04","PEAK","山頂","A0401","香港公園體育館","Hong Kong Park Sports Centre","22.2772634, 114.159326","22.2772634"," 114.159326",232,1368,NA,NA,NA,NA,NA,"pro-establishment",NA,NA,NA,NA,"CHAN SHU MOON","CHAN HO LIM JOSEPH",NA,NA,NA,NA,NA,"LIBERAL PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A04","PEAK","山頂","A0402","德瑞國際學校山頂校舍","German Swiss International School Peak Campus","22.265971, 114.1615628","22.265971"," 114.1615628",85,469,NA,NA,NA,NA,NA,"pro-establishment",NA,NA,NA,NA,"CHAN SHU MOON","CHAN HO LIM JOSEPH",NA,NA,NA,NA,NA,"LIBERAL PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A05","UNIVERSITY","大學","A0501","西營盤社區綜合大樓社區會堂","Sai Ying Pun Community Complex Community Hall","22.28483, 114.144069","22.28483"," 114.144069",1455,1844,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,NA,"LAU EDWARD WAI TAK","CHAN CHIT KWAI(STEPHEN)",NA,NA,NA,NA,"POWER FOR
DEMOCRACY",NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A06","KENNEDY TOWN & MOUNT DAVIS","堅摩","A0601","香港基督教女青年會西環綜合社會服務處","HKYWCA Western District Integrated Social Service Centre","22.2819261, 114.1258015","22.2819261"," 114.1258015",1072,838,1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A07","KWUN LUNG","觀龍","A0701","士美非路體育館","Smithfield Sports Centre","22.2816862, 114.1286074","22.2816862"," 114.1286074",1569,2491,NA,NA,NA,NA,"pro-democracy","pro-establishment",NA,NA,NA,NA,"LEUNG CHUNG HANG SIXTUS","YEUNG HOI WING",NA,NA,NA,NA,"YOUNGSPIRATION","DAB",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A08","SAI WAN","西環","A0801","堅尼地城社區綜合大樓 (綜合用途室)","Kennedy Town Community Complex (Multi-purpose Function Room)","22.281864, 114.129054","22.281864"," 114.129054",1898,2011,NA,NA,NA,NA,"pro-democracy","pro-establishment",NA,NA,NA,NA,"CHONG WING FAI WINFIELD","CHEUNG KWOK KWAN",NA,NA,NA,NA,"THE DEMOCRATIC
PARTY","DAB",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A09","BELCHER","寶翠","A0901","聖雅各福群會寶翠園幼稚園幼兒中心","St. James' Settlement Belcher Kindergarten Child Care Centre","22.2853242, 114.1339539","22.2853242"," 114.1339539",2397,2328,NA,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,"YIP WING SHING","YEUNG SUI YIN(VICTOR)",NA,NA,NA,NA,NA,"THE DEMOCRATIC
PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A10","SHEK TONG TSUI","石塘咀","A1001","石塘咀體育館","Shek Tong Tsui Sports Centre","22.2855473, 114.136225","22.2855473"," 114.136225",1336,1898,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,NA,"YIP KAM LUNG SAM","CHAN CHOI HI",NA,NA,NA,NA,"POWER FOR
DEMOCRACY",NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A11","SAI YING PUN","西營盤","A1101","中西區及離島區社會保障辦事處","Central and Western / Islands Social Security Field Unit","22.2877632, 114.1416827","22.2877632"," 114.1416827",1281,777,NA,NA,NA,NA,"pro-establishment","pro-democracy",NA,NA,NA,NA,"LO YEE HANG","NG WING TAK",NA,NA,NA,NA,"DAB","POWER FOR
DEMOCRACY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A11","SAI YING PUN","西營盤","A1102","中山紀念公園體育館","Sun Yat Sen Memorial Park Sports Centre","22.2900426, 114.1435092","22.2900426"," 114.1435092",509,427,NA,NA,NA,NA,"pro-establishment","pro-democracy",NA,NA,NA,NA,"LO YEE HANG","NG WING TAK",NA,NA,NA,NA,"DAB","POWER FOR
DEMOCRACY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A12","SHEUNG WAN","上環","A1201","上環郵政局","Sheung Wan Post Office","22.286738, 114.1503058","22.286738"," 114.1503058",1344,1436,NA,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,"LUI HUNG PAN(BEN LUI)","KAM NAI WAI",NA,NA,NA,NA,NA,"THE DEMOCRATIC
PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A13","TUNG WAH","東華","A1301","新會商會學校","San Wui Commercial Society School","22.2840363, 114.1488854","22.2840363"," 114.1488854",789,666,NA,NA,NA,NA,"pro-establishment","pro-democracy",NA,NA,NA,NA,"SIU KA YI","HO CHUN KI FREDERICK",NA,NA,NA,NA,"DAB","THE DEMOCRATIC
PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A13","TUNG WAH","東華","A1302","聖公會聖馬太小學","SKH St. Matthew's Primary School","22.285738, 114.14667","22.285738"," 114.14667",563,314,NA,NA,NA,NA,"pro-establishment","pro-democracy",NA,NA,NA,NA,"SIU KA YI","HO CHUN KI FREDERICK",NA,NA,NA,NA,"DAB","THE DEMOCRATIC
PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A14","CENTRE STREET","正街","A1401","基督教香港崇真會救恩堂及救恩學校","Tsung Tsin Mission of Hong Kong Kau Yan Church and Kau Yan School","22.285343, 114.140813","22.285343"," 114.140813",1621,1654,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,NA,"CHEUNG KAI YIN","LEE CHI HANG SIDNEY",NA,NA,NA,NA,"THE DEMOCRATIC
PARTY",NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Central & Western District","A15","WATER STREET","水街","A1501","李陞小學","Li Sing Primary School","22.2853334, 114.1398624","22.2853334"," 114.1398624",1878,1619,NA,NA,NA,NA,"pro-establishment","pro-democracy",NA,NA,NA,NA,"YEUNG HOK MING","NG HOI YAN BONNIE",NA,NA,NA,NA,"DAB","THE DEMOCRATIC
PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Tsuen Wan District","K02","YEUNG UK ROAD","楊屋道","K0201","荃灣天主教小學","Tsuen Wan Catholic Primary School","22.3691427, 114.1194857","22.3691427"," 114.1194857",2075,1233,NA,NA,NA,NA,"pro-establishment","pro-democracy",NA,NA,NA,NA,"CHAN HAN PAN","LAM SEK TIM",NA,NA,NA,NA,"DAB","TSUEN WAN COMMUNITY
NETWORK",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Tsuen Wan District","K03","HOI BUN","海濱","K0301","天主教石鐘山紀念小學","Shak Chung Shan Memorial Catholic Primary School","22.3637959, 114.1131396","22.3637959"," 114.1131396",1926,2647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHENG PAK KEUNG","CHOW PING TIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Tsuen Wan District","K04","CLAGUE GARDEN","祈德尊","K0401","寶安商會王少清中學","POCA Wong Siu Ching Secondary School","22.371201, 114.110242","22.371201"," 114.110242",1825,1550,NA,NA,NA,NA,"pro-establishment",NA,NA,NA,NA,NA,"KOO YEUNG PONG","TONG WING CHI",NA,NA,NA,NA,"DAB",NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Tsuen Wan District","K06","DISCOVERY PARK","愉景","K0601","荃景圍體育館","Tsuen King Circuit Sports Centre","22.3776065, 114.1113547","22.3776065"," 114.1113547",3674,2020,NA,NA,NA,NA,"pro-establishment","pro-democracy",NA,NA,NA,NA,"TIEN MICHAEL PUK SUN","CHIU YAN LOY",NA,NA,NA,NA,"NEW PEOPLE'S PARTY","LABOUR PARTY",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Tsuen Wan District","K07","TSUEN WAN CENTRE","荃灣中心","K0701","柴灣角天主教小學","Chai Wan Kok Catholic Primary School","22.3780996, 114.1064656","22.3780996"," 114.1064656",2235,2074,NA,NA,NA,NA,"pro-democracy","pro-establishment",NA,NA,NA,NA,"LI HUNG POR","TSANG TAI",NA,NA,NA,NA,"THE DEMOCRATIC PARTY","DAB",NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Tsuen Wan District","K08","ALLWAY","荃威","K0801","中華基督教會基慧小學","CCC Kei Wai Primary School","22.3791106, 114.1048217","22.3791106"," 114.1048217",1540,2298,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,NA,"WONG YUI TAK LOUIS","LAM YUEN PUN",NA,NA,NA,NA,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA
2015,"District Council Election","First-past-the-post","Tsuen Wan District","K08","ALLWAY","荃威","K0802","川龍村公所","Chuen Lung Village Office","22.394864205052702, 114.10815652687528","22.394864205052702"," 114.10815652687528",237,522,NA,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,NA,"WONG YUI TAK LOUIS","LAM YUEN PUN",NA,NA,NA,NA,"THE DEMOCRATIC PARTY",NA,NA,NA,NA,NA
