"year","election_type","electoral_rule","district","district_code","district_name","chinese_name","station_code","chinese_name_poll_station","name_poll_station","ps_gmaps_coords","lat","lon","votes_candidate_1","votes_candidate_2","votes_candidate_3","votes_candidate_4","votes_candidate_5","poli_ideo_1","poli_ideo_2","poli_ideo_3","poli_ideo_4","poli_ideo_5","party_allegiance_1","party_allegiance_2","party_allegiance_3","party_allegiance_4","party_allegiance_5"
"2019","District Council Election","First-past-the-post","Central & Western District","A01","CHUNG WAN","中環","A0101","H6 Conet","H6 Conet","22.2845363, 114.1547168","22.2845363"," 114.1547168",1392,920,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,"THE DEMOCRATIC PARTY*",NA,NA,NA,NA
"2019","District Council Election","First-past-the-post","Central & Western District","A01","CHUNG WAN","中環","A0102","香港視覺藝術中心","Hong Kong Visual Arts Centre","22.2767383, 114.1593789","22.2767383"," 114.1593789",226,399,NA,NA,NA,"pro-democracy",NA,NA,NA,NA,"THE DEMOCRATIC PARTY*",NA,NA,NA,NA
"2019","District Council Election","First-past-the-post","Central & Western District","A02","MID LEVELS EAST","半山東","A0201","高主教書院","Raimondi College","22.2782914, 114.1533874","22.2782914"," 114.1533874",1993,2672,NA,NA,NA,"pro-establishment","pro-democracy",NA,NA,NA,"DAB*","THE DEMOCRATIC PARTY",NA,NA,NA
"2019","District Council Election","First-past-the-post","Central & Western District","A03","CASTLE ROAD","衛城","A0301","香港真光幼稚園(堅道)","Hong Kong True Light Kindergarten (Caine Road)","22.281594, 114.151889","22.281594"," 114.151889",1947,2022,NA,NA,NA,"pro-democracy","pro-establishment",NA,NA,NA,"THE DEMOCRATIC PARTY","LIBERAL PARTY",NA,NA,NA
"2019","District Council Election","First-past-the-post","Central & Western District","A03","CASTLE ROAD","衛城","A0302","英華女學校","Ying Wa Girls’ School","22.2827187, 114.1472685","22.2827187"," 114.1472685",722,537,NA,NA,NA,"pro-democracy","pro-establishment",NA,NA,NA,"THE DEMOCRATIC PARTY","LIBERAL PARTY",NA,NA,NA
"2019","District Council Election","First-past-the-post","Central & Western District","A04","PEAK","山頂","A0401","香港公園體育館","Hong Kong Park Sports Centre","22.2772634, 114.159326","22.2772634"," 114.159326",895,1924,NA,NA,NA,NA,"pro-establishment",NA,NA,NA,NA,"LIBERAL PARTY",NA,NA,NA
"2019","District Council Election","First-past-the-post","Central & Western District","A04","PEAK","山頂","A0402","德瑞國際學校山頂校舍","German Swiss International School Peak Campus","22.265971, 114.1615628","22.265971"," 114.1615628",211,498,NA,NA,NA,NA,"pro-establishment",NA,NA,NA,NA,"LIBERAL PARTY",NA,NA,NA
"2019","District Council Election","First-past-the-post","Central & Western District","A05","UNIVERSITY","大學","A0501","西營盤社區綜合大樓社區會堂","Sai Ying Pun Community Complex Community Hall","22.28483, 114.144069","22.28483"," 114.144069",127,3135,2843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019","District Council Election","First-past-the-post","Central & Western District","A06","KWUN LUNG","觀龍","A0601","士美非路體育館","Smithfield Sports Centre","22.2816862, 114.1286074","22.2816862"," 114.1286074",2970,138,3195,NA,NA,"pro-establishment","pro-democracy",NA,NA,NA,"DAB*","HKVSA",NA,NA,NA
"2019","District Council Election","First-past-the-post","Central & Western District","A07","KENNEDY TOWN & MOUNT
DAVIS","堅摩","A0701","香港基督教女青年會西環綜合社會服務處","HKYWCA Western District Integrated Social Service Centre","22.2819261, 114.1258015","22.2819261"," 114.1258015",3312,53,2206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
