fake_unit_id,year,district_code,ENAME,unchanged_90pt,CACODE,votes_pro_demo,votes_pro_est,votes_independent,total,uncontested_candidate_ideo
FAKE1,2011,D16,Bays Area,0,D16,309,970,NA,1279,NA
FAKE1,2015,D16,Bays Area,0,D16,NA,957,474,1431,NA
FAKE1,2019,D16,Bays Area,0,D16,807,1882,NA,2689,NA
FAKE1,2011,D17,Stanley & Shek O,1,D17,NA,3236,NA,3236,NA
FAKE1,2015,D17,Stanley & Shek O,1,D17,NA,408,2584,2992,NA
FAKE1,2019,D17,Stanley & Shek O,1,D17,2680,NA,2695,5375,NA
FAKE10,2011,J22,Chui Cheung,0,J22,196,1599,1823,3618,NA
FAKE10,2015,J23,Chui Cheung,0,J23,NA,2654,2918,5572,NA
FAKE10,2019,NA,Chui Cheung,0,NA,NA,NA,NA,NA,NA
FAKE10,2019,J22,Chun Cheung,0,J22,NA,2721,4480,7201,NA
FAKE10,2011,NA,Chun Cheung,0,NA,NA,NA,NA,NA,NA
FAKE10,2015,NA,Chun Cheung,0,NA,NA,NA,NA,NA,NA
FAKE10,2019,J24,Yau Chui,0,J24,2640,2857,605,6102,NA
FAKE10,2011,NA,Yau Chui,0,NA,NA,NA,NA,NA,NA
FAKE10,2015,NA,Yau Chui,0,NA,NA,NA,NA,NA,NA
FAKE10,2011,J21,Yau Lai,0,J21,811,1460,NA,2271,NA
FAKE10,2015,J22,Yau Lai,0,J22,1264,NA,2232,3496,NA
FAKE10,2019,J25,Yau Lai,0,J25,NA,NA,5600,5600,NA
FAKE10,2011,J20,Yau Tong East,0,J20,1108,4050,NA,5158,NA
FAKE10,2019,J23,Yau Tong East,0,J23,NA,2972,2997,5969,NA
FAKE10,2015,NA,Yau Tong East,0,J21,NA,3511,NA,3511,pro-establishment
FAKE11,2011,R17,Chui Ka,0,R17,NA,1801,1519,3320,NA
FAKE11,2015,R18,Chui Ka,0,R18,2433,1029,1068,4530,NA
FAKE11,2019,R19,Chui Ka,0,R19,4854,3385,33,8272,NA
FAKE11,2011,NA,Wan Shing,0,NA,NA,NA,NA,NA,NA
FAKE11,2015,R15,Wan Shing,0,R15,NA,1989,1889,3878,NA
FAKE11,2019,R16,Wan Shing,0,R16,3869,2745,212,6826,NA
FAKE12,2011,R23,Chung On,0,R23,NA,2455,1721,4176,NA
FAKE12,2015,R24,Chung On,0,R24,2506,2376,NA,4882,NA
FAKE12,2019,R26,Chung On,0,R26,4665,2993,NA,7658,NA
FAKE12,2011,NA,Hoi Nam,0,NA,NA,NA,NA,NA,NA
FAKE12,2015,NA,Hoi Nam,0,NA,NA,NA,NA,NA,NA
FAKE12,2019,R25,Hoi Nam,0,R25,3019,NA,1615,4634,NA
FAKE12,2011,R31,On Tai,0,R31,1956,2417,NA,4373,NA
FAKE12,2015,R33,On Tai,0,R33,2647,3657,NA,6304,NA
FAKE12,2019,R36,On Tai,0,R36,4419,3163,53,7635,NA
FAKE12,2011,R29,Yiu On,1,R29,1688,3039,231,4958,NA
